
G28,IO_L5P_T0U_N8_AD14P_69,I/O,BANK_69
G29,VCCO_69,Power,BANK_69
G30,IO_L4P_T0U_N6_DBC_AD7P_69,I/O,BANK_69
H28,IO_L6N_T0U_N11_AD6N_69,I/O,BANK_69
H29,IO_T0U_N12_VRP_69,I/O,BANK_69
H30,IO_L2N_T0L_N3_69,I/O,BANK_69
J28,IO_L6P_T0U_N10_AD6P_69,I/O,BANK_69
J29,IO_L1N_T0L_N1_DBC_69,I/O,BANK_69
J30,IO_L2P_T0L_N2_69,I/O,BANK_69
K29,IO_L1P_T0L_N0_DBC_69,I/O,BANK_69
K30,VREF_69,Power,BANK_69
A24,IO_L24P_T3U_N10_70,I/O,BANK_70
A25,IO_L24N_T3U_N11_70,I/O,BANK_70
A27,IO_L20P_T3L_N2_AD1P_70,I/O,BANK_70
A28,IO_L20N_T3L_N3_AD1N_70,I/O,BANK_70
B25,IO_L22P_T3U_N6_DBC_AD0P_70,I/O,BANK_70
B26,IO_L22N_T3U_N7_DBC_AD0N_70,I/O,BANK_70
B27,IO_L21N_T3L_N5_AD8N_70,I/O,BANK_70
B28,IO_L19N_T3L_N1_DBC_AD9N_70,I/O,BANK_70
C24,IO_L23P_T3U_N8_70,I/O,BANK_70
C25,IO_L23N_T3U_N9_70,I/O,BANK_70
C26,IO_L21P_T3L_N4_AD8P_70,I/O,BANK_70
C27,VCCO_70,Power,BANK_70
C28,IO_L19P_T3L_N0_DBC_AD9P_70,I/O,BANK_70
D24,IO_T3U_N12_70,I/O,BANK_70
D26,IO_T2U_N12_70,I/O,BANK_70
D27,IO_L17P_T2U_N8_AD10P_70,I/O,BANK_70
D28,IO_L17N_T2U_N9_AD10N_70,I/O,BANK_70
E24,IO_L18N_T2U_N11_AD2N_70,I/O,BANK_70
E25,IO_L14N_T2L_N3_GC_70,I/O,BANK_70
E26,IO_L16P_T2U_N6_QBC_AD3P_70,I/O,BANK_70
E27,IO_L16N_T2U_N7_QBC_AD3N_70,I/O,BANK_70
F24,IO_L18P_T2U_N10_AD2P_70,I/O,BANK_70
F25,IO_L14P_T2L_N2_GC_70,I/O,BANK_70
F26,VCCO_70,Power,BANK_70
F27,IO_L15P_T2L_N4_AD11P_70,I/O,BANK_70
F28,IO_L15N_T2L_N5_AD11N_70,I/O,BANK_70
G23,IO_L10N_T1U_N7_QBC_AD4N_70,I/O,BANK_70
G25,IO_L12N_T1U_N11_GC_70,I/O,BANK_70
G26,IO_L13P_T2L_N0_GC_QBC_70,I/O,BANK_70
G27,IO_L13N_T2L_N1_GC_QBC_70,I/O,BANK_70
H23,IO_L10P_T1U_N6_QBC_AD4P_70,I/O,BANK_70
H24,IO_L12P_T1U_N10_GC_70,I/O,BANK_70
H25,IO_L11P_T1U_N8_GC_70,I/O,BANK_70
H26,IO_L11N_T1U_N9_GC_70,I/O,BANK_70
J23,IO_L9P_T1L_N4_AD12P_70,I/O,BANK_70
J24,IO_L9N_T1L_N5_AD12N_70,I/O,BANK_70
J25,VCCO_70,Power,BANK_70
J26,IO_L8N_T1L_N3_AD5N_70,I/O,BANK_70
J27,IO_L7N_T1L_N1_QBC_AD13N_70,I/O,BANK_70
K24,IO_L4N_T0U_N7_DBC_AD7N_70,I/O,BANK_70
K25,IO_T1U_N12_70,I/O,BANK_70
K26,IO_L8P_T1L_N2_AD5P_70,I/O,BANK_70
K27,IO_L7P_T1L_N0_QBC_AD13P_70,I/O,BANK_70
L23,IO_L6N_T0U_N11_AD6N_70,I/O,BANK_70
L24,IO_L4P_T0U_N6_DBC_AD7P_70,I/O,BANK_70
